	F1norm_rprr	alpha	datasetname	delta	knownmodules	method	precision	recall	recovery	relevance	runningtime
114	0.27723281462218496	1.5	ecoli_colombos	1.0	strict	chengchurch	0.02743866907522871	0.0015709161684291247	0.05725190839694656	0.019230769230769232	10.68113398551941
115	0.549880644505091	1.5	ecoli_colombos	1.0	interconnected	chengchurch	0.03655832703451752	0.0029594836170799897	0.08095238095238096	0.023809523809523808	10.68113398551941
116	0.9237213191982848	1.5	ecoli_colombos	1.0	minimal	chengchurch	0.0609560600500018	0.012645494401695939	0.1425287356321839	0.023451261382295863	10.68113398551941
117	0.0	1.01	ecoli_dream5	0.0001	strict	chengchurch	0.0	0.0	0.0	0.0	130.87113094329834
118	0.0	1.01	ecoli_dream5	0.0001	interconnected	chengchurch	0.0	0.0	0.0	0.0	130.87113094329834
119	0.0	1.01	ecoli_dream5	0.0001	minimal	chengchurch	0.0	0.0	0.0	0.0	130.87113094329834
120	0.0	1.01	ecoli_dream5	0.0002	strict	chengchurch	0.0	0.0	0.0	0.0	135.10055899620056
121	0.0	1.01	ecoli_dream5	0.0002	interconnected	chengchurch	0.0	0.0	0.0	0.0	135.10055899620056
122	0.0	1.01	ecoli_dream5	0.0002	minimal	chengchurch	0.0	0.0	0.0	0.0	135.10055899620056
123	0.0	1.01	ecoli_dream5	0.0005	strict	chengchurch	0.0	0.0	0.0	0.0	113.04841089248657
124	0.0	1.01	ecoli_dream5	0.0005	interconnected	chengchurch	0.0	0.0	0.0	0.0	113.04841089248657
125	0.0	1.01	ecoli_dream5	0.0005	minimal	chengchurch	0.0	0.0	0.0	0.0	113.04841089248657
126	0.0	1.01	ecoli_dream5	0.001	strict	chengchurch	0.0	0.0	0.0	0.0	117.13788890838623
127	0.0	1.01	ecoli_dream5	0.001	interconnected	chengchurch	0.0	0.0	0.0	0.0	117.13788890838623
128	0.0	1.01	ecoli_dream5	0.001	minimal	chengchurch	0.0	0.0	0.0	0.0	117.13788890838623
129	0.0	1.01	ecoli_dream5	0.002	strict	chengchurch	0.0	0.0	0.0	0.0	120.0882921218872
130	0.0	1.01	ecoli_dream5	0.002	interconnected	chengchurch	0.0	0.0	0.0	0.0	120.0882921218872
131	0.0	1.01	ecoli_dream5	0.002	minimal	chengchurch	0.0	0.0	0.0	0.0	120.0882921218872
132	0.0	1.01	ecoli_dream5	0.005	strict	chengchurch	0.0	0.0	0.0	0.0	120.43179702758789
133	0.0	1.01	ecoli_dream5	0.005	interconnected	chengchurch	0.0	0.0	0.0	0.0	120.43179702758789
134	0.0	1.01	ecoli_dream5	0.005	minimal	chengchurch	0.0	0.0	0.0	0.0	120.43179702758789
135	0.0	1.01	ecoli_dream5	0.01	strict	chengchurch	0.0	0.0	0.0	0.0	105.84125304222107
136	0.0	1.01	ecoli_dream5	0.01	interconnected	chengchurch	0.0	0.0	0.0	0.0	105.84125304222107
137	0.0	1.01	ecoli_dream5	0.01	minimal	chengchurch	0.0	0.0	0.0	0.0	105.84125304222107
138	0.5289453272020063	1.01	ecoli_dream5	0.02	strict	chengchurch	0.00313909672734647	0.006424065020726825	0.15504248837582169	0.04872496230067037	102.64756298065186
139	0.49450285924919074	1.01	ecoli_dream5	0.02	interconnected	chengchurch	0.0017984104945805378	0.004431039184283936	0.11659114410310582	0.04756521711859374	102.64756298065186
140	0.2943940748560471	1.01	ecoli_dream5	0.02	minimal	chengchurch	0.001050656762504276	0.003881309760419949	0.09949516714222596	0.03935486181013141	102.64756298065186
141	2.1332449141181415	1.01	ecoli_dream5	0.05	strict	chengchurch	0.02874643577494785	0.03090486190321044	0.1776806547417064	0.14645780786674348	30.735762119293213
142	1.5494170685960624	1.01	ecoli_dream5	0.05	interconnected	chengchurch	0.010553839507287211	0.015032185704614278	0.11312497009428095	0.10807275112119728	30.735762119293213
143	1.1375756132524886	1.01	ecoli_dream5	0.05	minimal	chengchurch	0.005649777614756539	0.01646132035251126	0.10568488244754817	0.09820163204671999	30.735762119293213
144	1.1322159673886645	1.01	ecoli_dream5	0.1	strict	chengchurch	0.011911975961112244	0.011560677913683792	0.18745620060026477	0.0762624591512944	17.350627899169922
145	1.1166309387484352	1.01	ecoli_dream5	0.1	interconnected	chengchurch	0.007772174214865996	0.0068116646013265895	0.1383501419762594	0.07806246472738722	17.350627899169922
146	0.7426202252618476	1.01	ecoli_dream5	0.1	minimal	chengchurch	0.004348968043687828	0.0057970707650315785	0.10888525307379215	0.0641087585262635	17.350627899169922
147	0.8822028182278527	1.01	ecoli_dream5	0.2	strict	chengchurch	0.01707559178839363	0.0061626298866082375	0.13194258973566317	0.06300615138101351	10.61188292503357
148	1.1080365467972053	1.01	ecoli_dream5	0.2	interconnected	chengchurch	0.012999946450809183	0.006056436371047865	0.13440910232654962	0.061579550524859035	10.61188292503357
149	1.025398209375702	1.01	ecoli_dream5	0.2	minimal	chengchurch	0.008615421028903772	0.008460391018140308	0.12644850485963222	0.05558929525213174	10.61188292503357
150	0.7573415734980304	1.01	ecoli_dream5	0.5	strict	chengchurch	0.022904050545912297	0.004630736640541803	0.14066931987412537	0.05014622078359187	6.132063150405884
151	0.8517601498592979	1.01	ecoli_dream5	0.5	interconnected	chengchurch	0.018185828365243736	0.00399356421046554	0.10038871386956826	0.0459354920747217	6.132063150405884
