	F1norm_rprr	cutoff	datasetname	k	knownmodules	m	method	precision	recall	recovery	relevance	runningtime
1743	0.0	0.05	yeast_dream5	275.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	647.6087009906769
1744	0.0	0.05	yeast_dream5	275.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	647.6087009906769
1745	0.0	0.05	yeast_dream5	275.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	647.6087009906769
1746	1.874993163866225	0.05	yeast_dream5	275.0	minimal	1.05	cmeans	0.007998000047216541	0.0388275075832236	0.09059808354321879	0.11525403441874486	619.2893998622894
1747	2.068623306294944	0.05	yeast_dream5	275.0	interconnected	1.05	cmeans	0.012270459457572496	0.0256165710839545	0.09987449735297078	0.1178440757606863	619.2893998622894
1748	1.950554692391948	0.05	yeast_dream5	275.0	strict	1.05	cmeans	0.016391584267980302	0.02996193804554939	0.1406817575385561	0.13244816380441865	619.2893998622894
1749	2.160000882632044	0.05	yeast_dream5	275.0	minimal	1.1	cmeans	0.011518324621163912	0.039875841596188455	0.08735240648182646	0.1325434984486269	624.1062400341034
1750	2.254910571453082	0.05	yeast_dream5	275.0	interconnected	1.1	cmeans	0.017656012233821128	0.026421874447187004	0.09289751009566058	0.13227438512186945	624.1062400341034
1751	2.04978686478948	0.05	yeast_dream5	275.0	strict	1.1	cmeans	0.02321576392416636	0.032297418696904265	0.11246349447683408	0.14768820765699053	624.1062400341034
1752	0.0	0.05	yeast_dream5	325.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	706.1177771091461
1753	0.0	0.05	yeast_dream5	325.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	706.1177771091461
1754	0.0	0.05	yeast_dream5	325.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	706.1177771091461
1755	0.0	0.05	yeast_dream5	325.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	700.4311048984528
1756	0.0	0.05	yeast_dream5	325.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	700.4311048984528
1757	0.0	0.05	yeast_dream5	325.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	700.4311048984528
1758	1.5465177069625522	0.05	yeast_dream5	325.0	minimal	1.05	cmeans	0.0053937276930712584	0.03179499474000854	0.08837449444648132	0.10850562704791837	727.0867319107056
1759	2.1096860297140503	0.05	yeast_dream5	325.0	interconnected	1.05	cmeans	0.011804903313449187	0.02639546596057056	0.10682299852220345	0.11896334193077943	727.0867319107056
1760	1.5994522387605212	0.05	yeast_dream5	325.0	strict	1.05	cmeans	0.010856699413245996	0.023870708915567473	0.14623787999002996	0.11130952455481809	727.0867319107056
1761	1.9372326484072984	0.05	yeast_dream5	325.0	minimal	1.1	cmeans	0.00868266206918367	0.03740131241555839	0.08648942672204352	0.1263040577421182	770.1370151042938
1762	2.0392317813256753	0.05	yeast_dream5	325.0	interconnected	1.1	cmeans	0.012882962098309882	0.022952967698558528	0.09323056587375816	0.122992747722983	770.1370151042938
1763	1.828917208284687	0.05	yeast_dream5	325.0	strict	1.1	cmeans	0.01642243832159922	0.024506140994159865	0.12233802166554034	0.1361354614775674	770.1370151042938
1764	2.531651869407403	0.1	yeast_dream5	25.0	minimal	1.01	cmeans	0.019375116562557623	0.03640222988495532	0.1328083637048107	0.09712195506540981	42.245002031326294
1765	2.084703527887779	0.1	yeast_dream5	25.0	interconnected	1.01	cmeans	0.021544324695136858	0.015544327578309515	0.12122337769081212	0.0921551581234909	42.245002031326294
1766	1.798859162216615	0.1	yeast_dream5	25.0	strict	1.01	cmeans	0.026443322112782892	0.018512129535544784	0.12790107439079562	0.10848553744788933	42.245002031326294
1767	2.6010367252777233	0.1	yeast_dream5	25.0	minimal	1.02	cmeans	0.020554902791430858	0.03637823617373252	0.13471196710247416	0.09990356751042634	67.07333397865295
1768	2.1379537264363346	0.1	yeast_dream5	25.0	interconnected	1.02	cmeans	0.023930058967063093	0.0159637347956603	0.12494318841316032	0.09157198437959814	67.07333397865295
1769	1.8397659075841075	0.1	yeast_dream5	25.0	strict	1.02	cmeans	0.028477827376353224	0.019072301574467578	0.13006062841748864	0.10854114881161518	67.07333397865295
1770	2.558836141470501	0.1	yeast_dream5	25.0	minimal	1.05	cmeans	0.02374979330611206	0.03205563352571253	0.13116014455789873	0.09523217244472544	54.68848991394043
1771	2.065684232221335	0.1	yeast_dream5	25.0	interconnected	1.05	cmeans	0.027337328877844968	0.014468819412199501	0.1180620369717364	0.08836006757905594	54.68848991394043
1772	1.844703563383791	0.1	yeast_dream5	25.0	strict	1.05	cmeans	0.034605360989351255	0.018406097519916426	0.12433854582263347	0.10801511630429808	54.68848991394043
1773	2.464676939335811	0.1	yeast_dream5	25.0	minimal	1.1	cmeans	0.02740930669306689	0.026081052312478807	0.12442470893273633	0.09169898284336071	54.34415316581726
1774	1.7629431679738892	0.1	yeast_dream5	25.0	interconnected	1.1	cmeans	0.026660864839794084	0.009813096573814416	0.10844199333289639	0.07901685377173837	54.34415316581726
1775	1.5210533836543112	0.1	yeast_dream5	25.0	strict	1.1	cmeans	0.031211513089141513	0.01214385862013345	0.11386873400620924	0.09313271924369955	54.34415316581726
1776	2.395626166126631	0.1	yeast_dream5	75.0	minimal	1.01	cmeans	0.014005983981000182	0.04632262209786664	0.10227469632419074	0.12300160683076436	164.60467791557312
1777	2.3467346661893993	0.1	yeast_dream5	75.0	interconnected	1.01	cmeans	0.018535667831454265	0.024928920521873052	0.10607964990486737	0.12650682516121048	164.60467791557312
1778	2.15387279426213	0.1	yeast_dream5	75.0	strict	1.01	cmeans	0.02486556641075876	0.03167029875599167	0.1259702431626376	0.14656543978222422	164.60467791557312
1779	2.685399356380843	0.1	yeast_dream5	75.0	minimal	1.02	cmeans	0.0173983748298353	0.05171986193776769	0.10997883557556312	0.13350369615432248	205.2248158454895
1780	2.6434879536818916	0.1	yeast_dream5	75.0	interconnected	1.02	cmeans	0.023310734619625042	0.02975029644911884	0.11487818656339384	0.1375654100269607	205.2248158454895
1781	2.3722104328720452	0.1	yeast_dream5	75.0	strict	1.02	cmeans	0.029657998414712797	0.03653785669057851	0.1350773504017571	0.15516057631630195	205.2248158454895
1782	2.6204747254281084	0.1	yeast_dream5	75.0	minimal	1.05	cmeans	0.017737362103044992	0.045603387621930835	0.10597500927459982	0.131619527091247	163.6131489276886
1783	2.5499308224222186	0.1	yeast_dream5	75.0	interconnected	1.05	cmeans	0.02512451614437479	0.027079486947551145	0.10674582503814693	0.13494732586892005	163.6131489276886
1784	2.4166447578161248	0.1	yeast_dream5	75.0	strict	1.05	cmeans	0.03324852264477894	0.03807712061057819	0.13001388439866313	0.158835570526811	163.6131489276886
1785	2.649800388113633	0.1	yeast_dream5	75.0	minimal	1.1	cmeans	0.021286145863775217	0.04127753286006227	0.10560986801705771	0.12510654808081845	192.2112147808075
1786	2.4480859264083628	0.1	yeast_dream5	75.0	interconnected	1.1	cmeans	0.02908280010624221	0.022175667173002945	0.10312200080278683	0.1279308416326833	192.2112147808075
1787	2.337291173050832	0.1	yeast_dream5	75.0	strict	1.1	cmeans	0.03910020211109687	0.029240475064423073	0.1258613399073653	0.15745212025791364	192.2112147808075
1788	0.0	0.1	yeast_dream5	125.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	256.1974210739136
1789	0.0	0.1	yeast_dream5	125.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	256.1974210739136
1790	0.0	0.1	yeast_dream5	125.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	256.1974210739136
1791	0.0	0.1	yeast_dream5	125.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	295.5655210018158
1792	0.0	0.1	yeast_dream5	125.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	295.5655210018158
1793	0.0	0.1	yeast_dream5	125.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	295.5655210018158
1794	2.36137432518924	0.1	yeast_dream5	125.0	minimal	1.05	cmeans	0.013268635683903419	0.04709191205488856	0.0960060561337111	0.13285586342792768	271.29994201660156
1795	2.431613245029609	0.1	yeast_dream5	125.0	interconnected	1.05	cmeans	0.020106109682016576	0.03053895168106209	0.10123983476583508	0.13249877000292581	271.29994201660156
1796	2.275227059772301	0.1	yeast_dream5	125.0	strict	1.05	cmeans	0.025168578479324136	0.0366798558486578	0.13029931884173965	0.1561408959181053	271.29994201660156
1797	2.62774217128521	0.1	yeast_dream5	125.0	minimal	1.1	cmeans	0.01875613165147879	0.04993302319858948	0.0963468905037923	0.14128696086875414	263.37094020843506
1798	2.6764136749490186	0.1	yeast_dream5	125.0	interconnected	1.1	cmeans	0.027781047637197184	0.0330049537923723	0.1019049590690019	0.14824880264193582	263.37094020843506
1799	2.478530654516632	0.1	yeast_dream5	125.0	strict	1.1	cmeans	0.035752644272051146	0.041768823654533986	0.12321817957332444	0.17092636323188973	263.37094020843506
1800	0.0	0.1	yeast_dream5	175.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	361.89022994041443
1801	0.0	0.1	yeast_dream5	175.0	interconnected	1.01	cmeans	0.0	0.0	0.0	0.0	361.89022994041443
1802	0.0	0.1	yeast_dream5	175.0	strict	1.01	cmeans	0.0	0.0	0.0	0.0	361.89022994041443
1803	0.0	0.1	yeast_dream5	175.0	minimal	1.02	cmeans	0.0	0.0	0.0	0.0	408.90080189704895
1804	0.0	0.1	yeast_dream5	175.0	interconnected	1.02	cmeans	0.0	0.0	0.0	0.0	408.90080189704895
1805	0.0	0.1	yeast_dream5	175.0	strict	1.02	cmeans	0.0	0.0	0.0	0.0	408.90080189704895
1806	2.1909070849406667	0.1	yeast_dream5	175.0	minimal	1.05	cmeans	0.011185508864745205	0.04563484363428147	0.0905027940686374	0.13197334342948036	431.2070109844208
1807	2.2248325131338293	0.1	yeast_dream5	175.0	interconnected	1.05	cmeans	0.015617196358057507	0.0274705833192707	0.09987628666617147	0.12245553433163511	431.2070109844208
1808	2.2071339943216546	0.1	yeast_dream5	175.0	strict	1.05	cmeans	0.022076042676851943	0.034184442254175246	0.14009410050488044	0.1475132496572591	431.2070109844208
1809	2.259616309168879	0.1	yeast_dream5	175.0	minimal	1.1	cmeans	0.012571938320157697	0.04317438864491324	0.09097073626745222	0.13184587574902792	369.58453392982483
1810	2.4443321545321566	0.1	yeast_dream5	175.0	interconnected	1.1	cmeans	0.019998369268694322	0.030461066843034165	0.09724907828015338	0.14314403871617307	369.58453392982483
1811	2.391070839212465	0.1	yeast_dream5	175.0	strict	1.1	cmeans	0.0274727255574451	0.03870380412155409	0.1324484266791814	0.16635763089045097	369.58453392982483
1812	0.0	0.1	yeast_dream5	225.0	minimal	1.01	cmeans	0.0	0.0	0.0	0.0	457.64037799835205
